q,side,rank,ticker,net_M,buy_M,sell_M
2025Q3,매수,1,BMNR,803,1375,572
2025Q3,매수,2,UNH,547,887,340
2025Q3,매수,3,NVDA,358,2383,2025
2025Q3,매수,4,SGOV,357,773,416
2025Q3,매수,5,IREN,309,483,174
2025Q3,매수,6,QQQ,302,1733,1431
2025Q3,매수,7,CRCL,279,1283,1004
2025Q3,매수,8,VOO,276,1181,906
2025Q3,매수,9,ULTY,260,289,29
2025Q3,매수,10,PLTR,258,1771,1513
2025Q3,매도,1,TSLA,-1774,3226,5000
2025Q3,매도,2,SOXL,-1286,3997,5283
2025Q3,매도,3,TSLL,-1181,3152,4332
2025Q3,매도,4,TQQQ,-847,521,1368
2025Q3,매도,5,AAPL,-512,421,933
2025Q3,매도,6,IONQ,-202,901,1103
2025Q3,매도,7,NVDL,-162,797,959
2025Q3,매도,8,GOOGL,-123,537,660
2025Q3,매도,9,OKLO,-105,381,486
2025Q3,매도,10,ETHU,-89,1211,1300
2025Q4,매수,1,GOOGL,1794,2633,839
2025Q4,매수,2,NVDA,1293,3861,2568
2025Q4,매수,3,IONQ,987,1871,883
2025Q4,매수,4,VOO,679,1567,888
2025Q4,매수,5,IREN,627,1527,899
2025Q4,매수,6,META,624,1312,687
2025Q4,매수,7,BMNR·2xL,573,976,403
2025Q4,매수,8,QQQM,551,698,147
2025Q4,매수,9,BMNR,546,1206,660
2025Q4,매수,10,QQQ,476,6404,5928
2025Q4,매도,1,TSLL,-683,3183,3866
2025Q4,매도,2,SOXL,-630,7169,7799
2025Q4,매도,3,AAPL,-166,161,326
2025Q4,매도,4,IONQ·2xS,-58,191,249
2025Q4,매도,5,RGTI·2xS,-46,242,287
2025Q4,매도,6,MSFT,-39,558,597
2025Q4,매도,7,UNH,-38,184,222
2025Q4,매도,8,TSLA·2xS,-23,246,269
2025Q4,매도,9,UVIX,-20,472,492
2025Q4,매도,10,SQQQ,-13,104,116
2026Q1,매수,1,GOOGL,911,2107,1196
2026Q1,매수,2,TSLA,660,3194,2534
2026Q1,매수,3,MSFT,657,1135,478
2026Q1,매수,4,VOO,572,781,209
2026Q1,매수,5,TSLL,464,1624,1161
2026Q1,매수,6,QQQM,462,618,156
2026Q1,매수,7,IONQ,416,920,504
2026Q1,매수,8,TQQQ,406,1440,1034
2026Q1,매수,9,SNDK,391,1658,1267
2026Q1,매수,10,MU,343,1799,1456
2026Q1,매도,1,SOXL,-807,9841,10647
2026Q1,매도,2,NVDA,-667,1888,2555
2026Q1,매도,3,PLTR,-144,1492,1636
2026Q1,매도,4,NVDL,-141,496,638
2026Q1,매도,5,AVGO,-62,338,400
2026Q1,매도,6,UVIX,-53,334,387
2026Q1,매도,7,KOLD,-30,100,130
2026Q1,매도,8,SQQQ,-25,359,384
2026Q1,매도,9,BE,-17,238,255
2026Q1,매도,10,MUU,-9,224,232
